passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Genesis 9:22	4424	אֲבִ֣י	HNcmsc	common	noun::	None	?	:J
Genesis 9:22	4428	אָבִ֑יו	HNcmsc	common	noun::	HSp3ms	pronominal	p:J
Genesis 10:8	4639	גִּבֹּ֖ר	HAamsa	adjective	noun::	None	?	:
Genesis 10:9	4651	כֵּן֙	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 10:9	4655	גִּבֹּ֥ור	HAamsc	adjective	noun::	None	?	:
Genesis 10:19	4791	גְרָ֖רָה	HNp	proper name	proper noun::		?	:H
Genesis 10:19	4795	סְדֹ֧מָה	HNp	proper name	proper noun::		?	:H
Genesis 10:21	4821	אֲבִי֙	HNcmsc	common	noun::	None	?	:J
Genesis 10:21	4825	אֲחִ֖י	HNcmsc	common	noun:distributive noun:	None	?	:J
Genesis 10:30	4931	סְפָ֖רָה	HNp	proper name	proper noun::		?	:H
Genesis 11:3	4996	הָ֚בָה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 11:4	5020	הָ֣בָה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 11:7	5085	הָ֚בָה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 11:9	5115	כֵּ֞ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 11:10	5142	מְאַ֣ת	HR	preposition	noun:cardinal:	None	?	:
Genesis 11:10	5143	שָׁנָ֔ה	HAcbsc	cardinal number	noun::	HNcfsa	common	:
Genesis 11:29	5421	אֲבִֽי	HNcmsc	common	noun::	None	?	:J
Genesis 11:29	5424	אֲבִ֥י	HNcmsc	common	noun::	None	?	:J
Genesis 11:30	5430	אֵ֥ין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 12:15	5766	פַרְעֹ֔ה	HNp	proper name	noun::	None	?	:
Genesis 12:15	5771	פַּרְעֹ֑ה	HNp	proper name	noun::	None	?	:
Genesis 12:15	5777	פַּרְעֹֽה	HNp	proper name	noun::	None	?	:
Genesis 12:17	5804	פַּרְעֹ֛ה	HNp	proper name	noun::	None	?	:
Genesis 12:18	5817	פַרְעֹה֙	HNp	proper name	noun::	None	?	:
Genesis 12:18	5826	לָ֚מָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 12:19	5833	לָמָ֤ה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 12:20	5853	פַּרְעֹ֖ה	HNp	proper name	noun::	None	?	:
Genesis 13:15	6153	אֶתְּנֶ֑נָּה	HVqi1cs	verb	verb::	HSp3fs	pronominal	p:N
Genesis 13:17	6192	אֶתְּנֶֽנָּה	HVqi1cs	verb	verb::	HSp3fs	pronominal	p:N
Genesis 15:2	6697	אֲדֹנָ֤י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Genesis 15:8	6801	אֲדֹנָ֣י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Genesis 15:8	6807	אִֽירָשֶֽׁנָּה	HVqi1cs	verb	verb::	HSp3fs	pronominal	p:N
Genesis 15:9	6811	קְחָ֥ה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 15:14	6912	כֵ֥ן	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 16:7	7176	דֶ֥רֶךְ	HNcbsc	common	noun:potential preposition:	None	?	:
Genesis 16:13	7275	גַ֥ם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 16:14	7281	כֵּן֙	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 18:3	7844	אֲדֹנָ֗י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Genesis 18:5	7880	כֵּ֥ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 18:5	7886	כֵּ֥ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 18:13	8030	לָ֣מָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 18:19	8132	דֶּ֣רֶךְ	HNcbsc	common	noun:potential preposition:	None	?	:
Genesis 18:22	8186	סְדֹ֑מָה	HNp	proper name	proper noun::		?	:H
Genesis 18:24	8206	יֵ֛שׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 18:27	8293	אֲדֹנָ֔י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Genesis 18:29	8332	יִמָּצְא֥וּן	HVNi3mp	verb	verb::	HSn	paragogic nun	:
Genesis 18:30	8353	יִמָּצְא֥וּן	HVNi3mp	verb	verb::	HSn	paragogic nun	:
Genesis 18:31	8372	אֲדֹנָ֔י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Genesis 18:31	8374	יִמָּצְא֥וּן	HVNi3mp	verb	verb::	HSn	paragogic nun	:
Genesis 18:32	8398	יִמָּצְא֥וּן	HVNi3mp	verb	verb::	HSn	paragogic nun	:
Genesis 19:1	8429	סְדֹ֨מָה֙	HNp	proper name	proper noun::		?	:H
Genesis 19:2	8470	דַרְכְּכֶ֑ם	HNcbsc	common	noun:potential preposition:	HSp2mp	pronominal	p:
Genesis 19:4	8499	טֶרֶם֮	HD	adverb	noun:potential preposition:	None	?	:
Genesis 19:8	8590	כֵּ֥ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 19:21	8904	בִלְתִּ֛י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 19:22	8924	כֵּ֛ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 19:23	8939	צֹֽעֲרָה	HNp	proper name	proper noun::		?	:H
Genesis 19:31	9100	אֵ֤ין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 19:31	9108	דֶ֖רֶךְ	HNcbsc	common	noun:potential preposition:	None	?	:
Genesis 19:32	9112	לְכָ֨ה	HVqv2ms	verb	verb::	HSh	paragogic he	:
Genesis 19:38	9231	גַם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 20:4	9312	אֲדֹנָ֕י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Genesis 20:5	9327	גַם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 20:6	9366	כֵּ֥ן	HTm	demonstrative	adverb:anaphoric adverb:	None	?	:
Genesis 20:11	9474	אֵין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 21:5	9686	מְאַ֣ת	HR	preposition	noun:cardinal:	None	?	:
Genesis 21:5	9687	שָׁנָ֑ה	HAcbsc	cardinal number	noun::	HNcfsa	common	:
Genesis 21:23	10032	הִשָּׁ֨בְעָה	HVNv2ms	verb	verb::	HSh	paragogic he	:
Genesis 21:26	10103	בִּלְתִּ֥י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 22:7	10387	הִנֶּ֣נִּֽי	HTm	demonstrative	interjection::	HSp1cs	pronominal	p:N
Genesis 22:20	10669	גַם	HD	adverb	adverb:focus particle:	None	?	:
Genesis 23:1	10747	שְׁנֵ֖י	HAcmdc	cardinal number	noun::	None	?	:
Genesis 23:8	10850	יֵ֣שׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 23:19	11071	כֵן֩	HD	adverb	adverb:anaphoric adverb:	None	?	:
Genesis 24:15	11420	טֶרֶם֮	HD	adverb	noun:potential preposition:	None	?	:
Genesis 24:21	11536	דַּרְכֹּ֖ו	HNcbsc	common	noun:potential preposition:	HSp3ms	pronominal	p:
Genesis 24:23	11573	יֵ֧שׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 24:27	11632	דֶּ֨רֶךְ֙	HNcbsa	common	noun:potential preposition:	None	?	:
Genesis 24:31	11717	לָ֤מָּה	HR	preposition	interrogative particle::	HTi	interrogative	:
Genesis 24:42	11926	יֶשְׁךָ	HTm	demonstrative	noun:copulative noun:	HSp2ms	pronominal	p:
