passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Daniel 3:7	371739	דְּנָ֡ה	AC	conjunction	demonstrative pronoun::	None	?	:
Daniel 3:8	371774	דְּנָה֙	AC	conjunction	demonstrative pronoun::	None	?	:
Daniel 3:11	371823	מַן	APf3cs	indefinite	interrogative pronoun::	None	?	:
Daniel 3:11	371824	דִּי	APf3cs	indefinite	preposition::	None	?	:
Daniel 3:12	371835	אִיתַ֞י	ATa	affirmation	noun:copulative noun:	None	?	:
Daniel 3:14	371896	צְדָּ֕א	ANcmsa	common	adverb::	None	?	:
Daniel 3:14	371904	אִֽיתֵיכֹון֙	ATa	affirmation	noun:copulative noun:	ASp2mp	pronominal	p:
Daniel 3:15	371916	אִֽיתֵיכֹ֣ון	ATa	affirmation	noun:copulative noun:	ASp2mp	pronominal	p:
Daniel 3:15	371956	ה֣וּא	ATa	affirmation	personal pronoun::	None	?	:
Daniel 3:17	371981	אִיתַ֗י	ATa	affirmation	noun:copulative noun:	None	?	:
Daniel 3:22	372091	דְּנָ֗ה	AC	conjunction	demonstrative pronoun::	None	?	:
Daniel 3:22	372113	דִּ֥י	AT	particle	preposition::	None	?	:
Daniel 3:25	372180	רביעיא	AAomsd	ordinal number	adjective:ordinal:	ATd	definite article	:
Daniel 3:33	372373	מָ֣ה	APfxcs	indefinite	interrogative pronoun::	None	?	:
Daniel 3:33	372378	מָ֣ה	APfxcs	indefinite	interrogative pronoun::	None	?	:
Daniel 4:12	372585	בְּרַ֨ם	AC	conjunction	adverb::	None	?	:
Daniel 4:12	372600	דִּ֣י	AT	particle	preposition::	None	?	:
Daniel 4:14	372649	מַן	APfxcs	indefinite	interrogative pronoun::	None	?	:
Daniel 4:14	372650	דִּ֤י	APfxcs	indefinite	preposition::	None	?	:
Daniel 4:15	372667	פִּשְׁרֵ֣א	ANcmsd	common	noun::	ATd	definite article	p:
Daniel 4:16	372708	פִשְׁרֵא֙	ANcmsd	common	noun::	ATd	definite article	p:
Daniel 4:19	372762	ה֣וּא	APdxms	demonstrative	personal pronoun::	None	?	:
Daniel 4:20	372796	בְּרַ֨ם	AC	conjunction	adverb::	None	?	:
Daniel 4:20	372811	דִּ֣י	AT	particle	preposition::	None	?	:
Daniel 4:21	372840	מַלְכָּֽא	ANcmsc	common	noun::	ASp1cs	pronominal	:>
Daniel 4:22	372862	לָ֣ךְ	AR	preposition	preposition::	ATo	direct object marker	p:
Daniel 4:22	372880	מַן	APrxcs	relative	interrogative pronoun::	None	?	:
Daniel 4:23	372897	דִּ֣י	AAafsa	adjective	preposition::	None	?	:
Daniel 4:24	372902	לָהֵ֣ן	AC	conjunction	adverb:conjunctive adverb:	None	?	:
Daniel 4:26	372935	דִּ֥י	AT	particle	preposition::	None	?	:
Daniel 4:29	373009	מַן	APrxcs	relative	interrogative pronoun::	None	?	:
Daniel 5:2	373192	אֲב֔וּהִי	ANcmsc	common	noun::	ASp3ms	pronominal	p:W
Daniel 5:5	373249	דִּ֣י	AT	particle	preposition::	None	?	:
Daniel 5:5	373259	דִּֽי	AT	particle	preposition::	None	?	:
Daniel 5:5	373262	דִּ֣י	AT	particle	preposition::	None	?	:
Daniel 5:7	373306	דִּ֣י	AT	particle	preposition::	None	?	:
Daniel 5:7	373320	דִֽי	AT	particle	preposition::	None	?	:
Daniel 5:7	373325	תַלְתִּ֥י	AAomsa	ordinal number	noun::	None	?	p:
Daniel 5:8	373341	פשׁרא	ANcmsd	common	noun::	ATd	definite article	p:
Daniel 6:6	373962	עֲלֹ֖והִי	AR	preposition	preposition::	APp3ms	personal	p:
Daniel 6:10	374043	דְּנָ֑ה	AC	conjunction	demonstrative pronoun::	None	?	:
Daniel 6:18	374272	חֲדָ֔ה	ANcfsa	common	noun:cardinal:	None	?	:
Daniel 6:20	374320	הִ֨תְבְּהָלָ֔ה	ANcfsa	common	verb::	None	?	:
Daniel 6:23	374385	הִשְׁתְּכַ֣חַת	ANcfsa	common	verb::	None	?	:
Daniel 6:28	374522	וּ	AR	preposition	conjunction::	None	?	:
Daniel 6:28	374523	בְ	ANcmpd	common	preposition::	None	?	:
Daniel 6:28	374524	אַרְעָ֑א	ATd	definite article	noun::	ATd	definite article	:>
Daniel 7:5	374644	שׁניה	ANcfpd	common	noun::	ATd	definite article	p:
Ezra 2:50	378821	מעינים	HNgmpa	gentilic	proper noun::	None	?	:
Ezra 2:50	378823	נפיסים	HNgmpa	gentilic	proper noun::	None	?	:
Nehemiah 7:52	386854	מְעוּנִ֖ים	HNgmpa	gentilic	proper noun::	None	?	:
Nehemiah 7:52	386856	נפושׁסים	HNgmpa	gentilic	proper noun::	None	?	:
1_Chronicles 4:41	393409	מעינים	HNgmpa	gentilic	proper noun::	None	?	:
1_Chronicles 6:9	394165	תַּ֤חַת	HR	preposition	proper noun::	None	?	:
1_Chronicles 6:22	394298	תַּ֨חַת֙	HR	preposition	proper noun::	None	?	:
1_Chronicles 21:3	401846	כָּהֵם֙	HR	preposition	preposition::	HPp3mp	personal	p:
2_Chronicles 9:11	411307	כָהֵ֛ם	HR	preposition	preposition::	HPp3mp	personal	p:
2_Chronicles 26:7	419723	מְּעוּנִֽים	HNgmpa	gentilic	proper noun::	None	?	:
