passage	node	occurrence	OSMmorph	stemOSM	stemBHS	conjOSM	conjBHS	personOSM	personBHS	genderOSM	genderBHS	numberOSM	numberBHS
Amos 4:7	296380	תַמְטִ֥יר	HVhi3fs	hiphil	hiphil	imperfect	imperfect	3	2	f	m	s	s
Amos 5:11	296677	בֹּושַׁסְכֶ֞ם	HVmc	poel	qal	inf cons	inf cons	_	?	?	?	?	?
Amos 6:4	297003	סְרֻחִ֖ים	HVqsmpa	qal	?	part pass	?	_	_	m	m	p	p
Amos 6:7	297052	סְרוּחִֽים	HVqsmpa	qal	?	part pass	?	_	_	m	m	p	p
Amos 9:1	297816	בְצַ֨עַם֙	HVqv2ms	qal	qal	imperative	inf cons	2	?	m	?	s	?
Amos 9:10	298049	תַגִּ֧ישׁ	HVhi3fs	hiphil	hiphil	imperfect	imperfect	3	2	f	m	s	s
Amos 9:10	298051	תַקְדִּ֛ים	HVhi3fs	hiphil	hiphil	imperfect	imperfect	3	2	f	m	s	s
Obadiah 1:3	298209	שִׁבְתֹּ֑ו	HNcfsc	tiphil	qal	?	inf cons	s	?	c	?	?	?
Jonah 1:9	298767	יָרֵ֔א	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Jonah 1:15	298913	זַּעְפֹּֽו	HVqc	qal	?	inf cons	?	_	_	?	m	?	s
Jonah 2:4	298985	יְסֹבְבֵ֑נִי	HVmi3ms	poel	piel	imperfect	imperfect	3	3	m	m	s	s
Jonah 2:6	299011	יְסֹבְבֵ֑נִי	HVmi3ms	poel	piel	imperfect	imperfect	3	3	m	m	s	s
Jonah 4:6	299397	יַּ֣עַל	HVqw3ms	qal	hiphil	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Jonah 4:8	299452	תַּ֥ךְ	HVhw3ms	hiphil	hiphil	wayyiqtol	wayyiqtol	3	3	m	f	s	s
Micah 1:10	299728	התפלשׁתי	HVtp1cs	hithpael	hithpael	perfect	imperative	1	2	c	f	s	s
Micah 3:7	300185	חֹזִ֗ים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Micah 4:8	300471	בָאָ֗ה	HVqq3fs	qal	qal	weqatal	part act	3	?	f	f	s	s
Micah 5:11	300804	הִכְרַתִּ֥י	HVqh1cs	qal	hiphil	cohortative	perfect	1	1	c	?	s	s
Micah 5:11	300809	מְעֹונְנִ֖ים	HVmrmpa	poel	piel	part act	part act	_	?	m	m	p	p
Micah 7:18	301410	חָפֵ֥ץ	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Nahum 1:4	301496	אֻמְלַ֤ל	HVKp3ms	pulal	pual	perfect	perfect	3	3	m	m	s	s
Nahum 1:4	301503	אֻמְלָֽל	HVKp3ms	pulal	pual	perfect	perfect	3	3	m	m	s	s
Nahum 1:10	301585	אֻ֨כְּל֔וּ	HVQp3cp	qalpassive	pual	perfect	perfect	3	3	c	?	p	p
Nahum 2:2	301674	צַפֵּה	HVpv2ms	piel	piel	imperative	inf abs	2	?	m	?	s	?
Nahum 2:2	301676	חַזֵּ֣ק	HVpv2ms	piel	piel	imperative	inf abs	2	?	m	?	s	?
Nahum 2:2	301678	אַמֵּ֥ץ	HVpv2ms	piel	piel	imperative	inf abs	2	?	m	?	s	?
Nahum 2:5	301720	יִֽשְׁתַּקְשְׁק֖וּן	HVfi3mp	hithpalpel	hithpael	imperfect	imperfect	3	3	m	m	p	p
Nahum 2:8	301761	מְתֹפְפֹ֖ת	HVmrfpa	poel	piel	part act	part act	_	?	f	f	p	p
Nahum 3:1	301883	מְלֵאָ֔ה	HAafsa	?	qal	?	part act	s	?	a	f	?	s
Nahum 3:7	301970	רֹאַ֨יִךְ֙	HVqrmpc	qal	qal	part act	part act	_	?	m	m	p	s
Nahum 3:8	301986	תֵֽיטְבִי֙	HVhi2fs	hiphil	qal	imperfect	imperfect	2	2	f	f	s	s
Nahum 3:17	302145	נֹודַ֔ד	HVMp3ms	poal	piel	perfect	perfect	3	3	m	m	s	s
Habakkuk 2:3	302499	יָפֵ֥חַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Habakkuk 2:3	302507	יִתְמַהְמָהּ֙	HVfi3ms	hithpalpel	hithpael	imperfect	imperfect	3	3	m	m	s	s
Habakkuk 2:7	302593	מְזַעְזְעֶ֑יךָ	HVlrmpc	pilpel	piel	part act	part act	_	?	m	m	p	p
Habakkuk 2:20	302797	הַ֥ס	HTj	pealal	piel	?	imperative	?	2	?	m	?	s
Habakkuk 3:13	302972	עָרֹ֛ות	HVpa	piel	piel	inf abs	inf cons	_	?	?	?	?	?
Zephaniah 1:2	303103	אָסֵ֜ף	HVhi1cs	hiphil	qal	imperfect	part act	1	?	c	m	s	s
Zephaniah 1:3	303112	אָסֵ֨ף	HVhi1cs	hiphil	qal	imperfect	part act	1	?	c	m	s	s
Zephaniah 1:3	303116	אָסֵ֤ף	HVhi1cs	hiphil	qal	imperfect	part act	1	?	c	m	s	s
Zephaniah 1:7	303210	הַ֕ס	HTj	pealal	piel	?	imperative	?	2	?	m	?	s
Zephaniah 1:14	303368	קָרֹ֖וב	HAamsa	?	qal	?	inf abs	s	?	a	?	?	?
Zephaniah 1:14	303370	מַהֵ֣ר	HAamsa	?	piel	?	inf abs	s	?	a	?	?	?
Zephaniah 1:17	303431	שֻׁפַּ֤ךְ	HVQq3ms	qalpassive	pual	weqatal	perfect	3	3	m	m	s	s
Zephaniah 3:10	303917	פּוּצַ֔י	HVqsmsc	qal	?	part pass	?	_	_	m	m	s	s
Zechariah 2:17	305651	הַ֥ס	HTj	pealal	piel	?	imperative	?	2	?	m	?	s
