passage	node	occurrence	OSMmorph	OSMmorphSuffix	OSMtype	OSMsuffixType	BHStype	BHSsuffixType
Genesis 2:24	1144	אָבִ֖יו	HNcmsc	HSp3ms	noun	suffix	noun:-:?	p:J
Genesis 2:25	1166	לֹ֖א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 3:1	1187	אַ֚ף	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 3:1	1191	לֹ֣א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 3:3	1223	לֹ֤א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 3:3	1227	לֹ֥א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 3:3	1231	תְּמֻתֽוּן	HVqi2mp	HSn	verb	suffix	verb:-:?	-:-
Genesis 3:4	1239	לֹֽא	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 3:4	1241	תְּמֻתֽוּן	HVqi2mp	HSn	verb	suffix	verb:-:?	-:-
Genesis 3:6	1292	גַּם	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 3:9	1354	אַיֶּֽכָּה	HTi	HSp2ms	particle	suffix	interrogative particle:-:?	p:N
Genesis 3:11	1372	מִ֚י	HTi	None	particle	?	interrogative pronoun:-:?	-:-
Genesis 3:11	1378	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 3:11	1385	בִלְתִּ֥י	HC	None	conjunction	?	noun:potential preposition:?	-:J
Genesis 3:12	1397	עִמָּדִ֔י	HR	HSp1cs	preposition	suffix	noun:potential preposition:?	p:-
Genesis 3:13	1413	מַה	HTi	None	particle	?	interrogative pronoun:-:?	-:-
Genesis 3:13	1414	זֹּ֣את	HPdxfs	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 3:14	1434	זֹּאת֒	HPdxfs	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 3:17	1516	לֹ֥א	HTn	None	particle	?	negative particle:-:?	-:-
Genesis 3:22	1592	הֵ֤ן	HTm	None	particle	?	interjection:-:?	-:-
Genesis 3:22	1611	גַּ֚ם	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 3:24	1663	דֶּ֖רֶךְ	HNcbsc	None	noun	?	noun:potential preposition:?	-:-
Genesis 4:2	1691	אָחִ֖יו	HNcmsc	HSp3ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:4	1722	גַם	HD	None	adverb	?	adverb:focus particle:?	-:-
Genesis 4:5	1750	מְאֹ֔ד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 4:6	1759	לָ֚מָּה	HR	HTi	preposition	particle	interrogative particle:-:?	-:-
Genesis 4:6	1763	לָ֖מָּה	HR	HTi	preposition	particle	interrogative particle:-:?	-:-
Genesis 4:7	1766	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 4:8	1792	אָחִ֑יו	HNcmsc	HSp3ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:8	1805	אָחִ֖יו	HNcmsc	HSp3ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:9	1813	אֵ֖י	HTi	None	particle	?	interrogative particle:-:?	-:-
Genesis 4:9	1815	אָחִ֑יךָ	HNcmsc	HSp2ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:10	1826	מֶ֣ה	HTi	None	particle	?	interrogative pronoun:-:?	-:-
Genesis 4:10	1830	אָחִ֔יךָ	HNcmsc	HSp2ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:11	1851	אָחִ֖יךָ	HNcmsc	HSp2ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:14	1880	הֵן֩	HTm	None	particle	?	interjection:-:?	-:-
Genesis 4:15	1911	לָכֵן֙	HR	HD	preposition	adverb	adverb:conjunctive adverb:?	-:-
Genesis 4:15	1915	שִׁבְעָתַ֖יִם	HNcfda	None	noun	?	noun:cardinal:?	-:-
Genesis 4:15	1924	בִלְתִּ֥י	HC	None	conjunction	?	noun:potential preposition:?	-:J
Genesis 4:16	1941	קִדְמַת	HNcfsc	None	noun	?	noun:potential preposition:?	-:-
Genesis 4:20	2010	אֲבִ֕י	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 4:21	2017	אָחִ֖יו	HNcmsc	HSp3ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 4:21	2021	אֲבִ֕י	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 4:22	2029	גַם	HD	None	adverb	?	adverb:focus particle:?	-:-
Genesis 4:24	2068	שִׁבְעָתַ֖יִם	HNcfda	None	noun	?	noun:cardinal:?	-:-
Genesis 4:25	2079	עֹוד֙	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 4:26	2104	גַּם	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 5:1	2120	זֶ֣ה	HPdxms	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 5:29	2535	זֶ֞֠ה	HPdxms	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 6:3	2650	גַּ֖ם	HD	None	adverb	?	adverb:focus particle:?	-:-
Genesis 6:4	2672	גַ֣ם	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 6:4	2674	כֵ֗ן	HD	None	adverb	?	adverb:anaphoric adverb:?	-:-
Genesis 6:4	2689	גִּבֹּרִ֛ים	HAampa	None	adjective	?	noun:-:?	-:-
Genesis 6:5	2712	רַ֥ק	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 6:9	2768	אֵ֚לֶּה	HPdxcp	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 6:12	2815	הִנֵּ֣ה	HTm	None	particle	?	interjection:-:?	-:-
Genesis 6:12	2822	דַּרְכֹּ֖ו	HNcbsc	HSp3ms	noun	suffix	noun:potential preposition:?	p:-
Genesis 6:13	2845	הִנְנִ֥י	HTj	HSp1cs	particle	suffix	interjection:-:?	p:-
Genesis 6:15	2872	זֶ֕ה	HPdxms	None	pronoun	?	demonstrative pronoun:-:?	-:-
Genesis 6:16	2897	תְּכַלֶ֣נָּה	HVpi2ms	HSp3fs	verb	suffix	verb:-:?	p:N
Genesis 6:16	2900	מַ֔עְלָה	HD	HSd	adverb	suffix	noun:-:?	-:H
Genesis 6:17	2915	הִנְנִי֩	HTm	HSp1cs	particle	suffix	interjection:-:?	p:-
Genesis 6:22	3036	כֵּ֥ן	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
Genesis 7:3	3087	גַּ֣ם	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 7:4	3108	עֹ֜וד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 7:18	3402	מְאֹ֖ד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 7:19	3418	מְאֹ֥ד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 7:19	3419	מְאֹ֖ד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 7:20	3440	מַ֔עְלָה	HD	HSd	adverb	suffix	noun:-:?	-:H
Genesis 7:23	3525	אַךְ	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 8:8	3696	הֲ	HTi	None	particle	?	interrogative particle:interrogative particle:?	-:-
Genesis 8:10	3741	עֹ֔וד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 8:11	3763	הִנֵּ֥ה	HTm	None	particle	?	interjection:-:?	-:-
Genesis 8:12	3782	עֹ֔וד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 8:12	3796	עֹֽוד	HD	None	adverb	?	noun:potential adverb:?	-:-
Genesis 8:13	3830	הִנֵּ֥ה	HTm	None	particle	?	interjection:-:?	-:-
Genesis 9:4	4102	אַךְ	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 9:5	4110	אַ֨ךְ	HD	None	adverb	?	adverb:focus particle:?	-:-
Genesis 9:5	4129	אָחִ֔יו	HNcmsc	HSp3ms	noun	suffix	noun:distributive noun:?	p:J
Genesis 9:9	4177	הִנְנִ֥י	HTj	HSp1cs	particle	suffix	interjection:-:?	p:-
Genesis 9:18	4387	אֲבִ֥י	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 9:22	4424	אֲבִ֣י	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 9:22	4428	אָבִ֑יו	HNcmsc	HSp3ms	noun	suffix	noun:-:?	p:J
Genesis 10:8	4639	גִּבֹּ֖ר	HAamsa	None	adjective	?	noun:-:?	-:-
Genesis 10:9	4651	כֵּן֙	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
Genesis 10:9	4655	גִּבֹּ֥ור	HAamsc	None	adjective	?	noun:-:?	-:-
Genesis 10:14	4728	פְּלִשְׁתִּ֖ים	HNgmpa	None	noun	?	adjective:gentilic:?	-:-
Genesis 10:16	4744	יְבוּסִי֙	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 10:16	4748	אֱמֹרִ֔י	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 10:17	4756	חִוִּ֥י	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 10:18	4782	כְּנַעֲנִֽי	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 10:19	4787	כְּנַעֲנִי֙	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 10:19	4791	גְרָ֖רָה	HNp		noun	?	proper noun:-:?	-:H
Genesis 10:19	4795	סְדֹ֧מָה	HNp		noun	?	proper noun:-:?	-:H
Genesis 10:21	4819	גַּם	HTa	None	particle	?	adverb:focus particle:?	-:-
Genesis 10:21	4821	אֲבִי֙	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 10:21	4825	אֲחִ֖י	HNcmsc	None	noun	?	noun:distributive noun:?	-:J
Genesis 10:30	4931	סְפָ֖רָה	HNp		noun	?	proper noun:-:?	-:H
Genesis 11:3	4996	הָ֚בָה	HVqv2ms	HSh	verb	suffix	verb:-:?	-:-
Genesis 11:4	5020	הָ֣בָה	HVqv2ms	HSh	verb	suffix	verb:-:?	-:-
Genesis 11:7	5085	הָ֚בָה	HVqv2ms	HSh	verb	suffix	verb:-:?	-:-
Genesis 11:9	5115	כֵּ֞ן	HTm	None	particle	?	adverb:anaphoric adverb:?	-:-
Genesis 11:10	5142	מְאַ֣ת	HR	None	preposition	?	noun:cardinal:?	-:-
Genesis 11:10	5143	שָׁנָ֔ה	HAcbsc	HNcfsa	adjective	noun	noun:-:?	-:-
Genesis 11:29	5421	אֲבִֽי	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 11:29	5424	אֲבִ֥י	HNcmsc	None	noun	?	noun:-:?	-:J
Genesis 11:30	5430	אֵ֥ין	HTn	None	particle	?	noun:copulative noun:?	-:-
Genesis 12:6	5604	כְּנַעֲנִ֖י	HNgmsa	None	noun	?	adjective:gentilic:?	-:-
Genesis 12:18	5822	מַה	HTi	None	particle	?	interrogative pronoun:-:?	-:-
